Id,Name,Type,Size,Form,Standard,Warehouse,Unit,price,LastPriceDate
,میلگرد آجدار بافق یزد 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار بافق یزد 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار بافق یزد 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار بافق یزد 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار شاهرود 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,346364,1404/5/7
,میلگرد آجدار شاهرود 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار شاهرود 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,333636,1404/5/7
,میلگرد آجدار شاهرود 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار شاهرود 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار شاهرود 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار شاهرود 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار شاهرود 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار شاهرود 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار شاهرود 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار شاهرود 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار شاهین بناب 8 A3 شاخه 12 متری کارخانه  ,,8,,A3,کارخانه,,328182,1404/5/7
,میلگرد آجدار شاهین بناب 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,330727,1404/5/7
,میلگرد آجدار شاهین بناب 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,317273,1404/5/7
,میلگرد آجدار شاهین بناب 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,319091,1404/5/7
,میلگرد آجدار شاهین بناب 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,317273,1404/5/7
,میلگرد آجدار شاهین بناب 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار شاهین بناب 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,345455,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,340909,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,335455,1404/5/7
,میلگرد آجدار صبا فولاد زاگرس 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,335455,1404/5/7
,میلگرد آجدار راد همدان 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,350864,1404/5/7
,میلگرد آجدار راد همدان 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,343591,1404/5/7
